X,Y,OBJECTID,station_id,sara_short,results,units,latitude_m,longitude_,waterbody_,Result1,Geomean,result1Min,result1Max,date,dates,isEndDate,recent_dat,rec_date,max_date,max_dat,URL,URLName,ESRI_OID,GlobalID,county_name
-98.4982,29.4316,86542,S0069,San Pedro Creek Culture Park,250,MPN/100ml,29.43162,-98.49822,San Pedro Creek,250,727,10,1400000,2018/10/04,2018/10/05 00:00:00+00,0,,2022/03/31 00:00:00+00,2019/08/16,2019/08/17 00:00:00+00,,,,667cc5fc-b521-404c-8e1b-8d34438d15c4,Bexar
-98.4982,29.4316,86543,S0069,San Pedro Creek Culture Park,140,MPN/100ml,29.43162,-98.49822,San Pedro Creek,140,727,10,1400000,2018/10/05,2018/10/06 00:00:00+00,0,,2022/03/31 00:00:00+00,2019/08/16,2019/08/17 00:00:00+00,,,,565fe991-c46f-4b12-84e9-ef290868f0a8,Bexar
-98.4982,29.4316,86544,S0069,San Pedro Creek Culture Park,1300,MPN/100ml,29.43162,-98.49822,San Pedro Creek,1300,727,10,1400000,2018/09/20,2018/09/21 00:00:00+00,0,,2022/03/31 00:00:00+00,2019/08/16,2019/08/17 00:00:00+00,,,,2b983fd4-a1ae-40b6-9cb0-6dc24342e641,Bexar
-98.4982,29.4316,86545,S0069,San Pedro Creek Culture Park,23000,MPN/100ml,29.43162,-98.49822,San Pedro Creek,23000,727,10,1400000,2018/09/22,2018/09/23 00:00:00+00,0,,2022/03/31 00:00:00+00,2019/08/16,2019/08/17 00:00:00+00,,,,df238cb6-4d67-4cfb-af95-6cd52631198f,Bexar
-98.4982,29.4316,86546,S0069,San Pedro Creek Culture Park,6100,MPN/100ml,29.43162,-98.49822,San Pedro Creek,6100,727,10,1400000,2018/09/23,2018/09/24 00:00:00+00,0,,2022/03/31 00:00:00+00,2019/08/16,2019/08/17 00:00:00+00,,,,55ab7efd-dc8c-4d78-bd4e-9c3e765ba890,Bexar
-98.4982,29.4316,86547,S0069,San Pedro Creek Culture Park,1600,MPN/100ml,29.43162,-98.49822,San Pedro Creek,1600,727,10,1400000,2018/09/24,2018/09/25 00:00:00+00,0,,2022/03/31 00:00:00+00,2019/08/16,2019/08/17 00:00:00+00,,,,9bb1202e-c943-4514-b187-204faac779ff,Bexar
-98.4982,29.4316,86548,S0069,San Pedro Creek Culture Park,2400,MPN/100ml,29.43162,-98.49822,San Pedro Creek,2400,727,10,1400000,2018/09/27,2018/09/28 00:00:00+00,0,,2022/03/31 00:00:00+00,2019/08/16,2019/08/17 00:00:00+00,,,,7f727f3d-a25c-41bf-9dbb-7c6a0241eaf6,Bexar
-98.4982,29.4316,86549,S0069,San Pedro Creek Culture Park,980,MPN/100ml,29.43162,-98.49822,San Pedro Creek,980,727,10,1400000,2018/09/29,2018/09/30 00:00:00+00,0,,2022/03/31 00:00:00+00,2019/08/16,2019/08/17 00:00:00+00,,,,bcaab8e6-6d62-4a19-a27a-f8a66245a15b,Bexar
-98.4982,29.4316,86550,S0069,San Pedro Creek Culture Park,8700,MPN/100ml,29.43162,-98.49822,San Pedro Creek,8700,727,10,1400000,2018/09/13,2018/09/14 00:00:00+00,0,,2022/03/31 00:00:00+00,2019/08/16,2019/08/17 00:00:00+00,,,,dcc81955-7eca-4489-8f69-556cac1a8a94,Bexar
-98.4982,29.4316,86551,S0069,San Pedro Creek Culture Park,2000,MPN/100ml,29.43162,-98.49822,San Pedro Creek,2000,727,10,1400000,2018/09/14,2018/09/15 00:00:00+00,0,,2022/03/31 00:00:00+00,2019/08/16,2019/08/17 00:00:00+00,,,,bb64394b-b449-4767-8261-5dddffc1a1c4,Bexar
